timestamp,open,high,low,close,volume
2021:04:30 04:00:00,53679.04,54200.0,53673.05,54124.35,2911.5857
2021:04:30 05:00:00,54124.35,54300.0,53914.73,54266.56,2529.3044
2021:04:30 06:00:00,54266.56,54450.0,54161.58,54415.0,1981.9866
2021:04:30 07:00:00,54415.0,54558.8,54250.92,54343.11,2243.0862
2021:04:30 08:00:00,54343.11,54672.31,54108.8,54526.61,1830.731
2021:04:30 09:00:00,54526.6,54792.33,54305.0,54318.08,2470.6008
2021:04:30 10:00:00,54317.82,54498.98,54100.0,54164.67,1833.5481
2021:04:30 11:00:00,54164.67,54377.97,54051.11,54230.63,1728.1815
2021:04:30 12:00:00,54230.64,54738.96,54170.89,54655.81,2294.573
2021:04:30 13:00:00,54655.81,55990.0,54409.7,55989.31,6279.5474
2021:04:30 14:00:00,55989.31,56308.16,55736.24,55952.19,6046.652
2021:04:30 15:00:00,55952.19,57258.15,55952.19,57180.06,7194.75
2021:04:30 16:00:00,57180.05,57385.0,56394.22,56707.28,5269.8696
2021:04:30 17:00:00,56707.27,56810.0,56277.39,56546.79,2866.9463
2021:04:30 18:00:00,56546.79,57055.74,56521.46,56857.47,2135.4656
2021:04:30 19:00:00,56857.48,57048.0,56780.47,57007.38,1584.405
2021:04:30 20:00:00,57007.38,57032.15,56374.21,56757.34,2015.5635
2021:04:30 21:00:00,56757.34,57184.27,56646.97,56976.53,1302.5211
2021:04:30 22:00:00,56976.53,57427.09,56887.26,57119.75,2203.2617
2021:04:30 23:00:00,57119.76,57963.0,57090.8,57694.27,3720.4646
2021:05:01 00:00:00,57697.25,58088.0,57421.05,57811.42,3480.4495
2021:05:01 01:00:00,57809.99,58456.52,57470.77,58450.0,2988.3806
2021:05:01 02:00:00,58450.0,58458.07,57931.89,58100.0,2232.4993
2021:05:01 03:00:00,58100.01,58248.54,58031.86,58178.67,1395.6111
2021:05:01 04:00:00,58177.59,58245.33,57687.04,58052.37,2019.9984
2021:05:01 05:00:00,58052.37,58422.31,57896.85,58134.44,1754.7794
2021:05:01 06:00:00,58134.44,58239.64,57837.0,57894.91,1330.6241
2021:05:01 07:00:00,57894.9,58036.08,57585.55,57725.14,1624.4943
2021:05:01 08:00:00,57725.14,57930.0,57450.63,57450.63,2063.7627
2021:05:01 09:00:00,57450.63,57851.35,57116.16,57492.99,2610.648
2021:05:01 10:00:00,57492.99,57666.66,57335.75,57384.0,1270.1198
2021:05:01 11:00:00,57384.0,57834.37,57383.33,57816.9,1245.5162
2021:05:01 12:00:00,57816.91,58043.01,57673.0,57764.15,1804.4065
2021:05:01 13:00:00,57764.15,58005.09,57525.0,57611.0,1688.8429
